SKU,Description,Cost
SM17A36180,MECH_ASM CHASSIS HANDLE, $13.55 
SM17B79530,"MECH_ASM ASSM, H100 GPU MOUNTING PLATE", $67.88 
SM17B93569,"MECH_ASM ASSM BAFFLE GPU AIRFLOW, nVidia", $4.91 
SSA7B76159,SP INTEL EMR 8568Y+ 48C/2.3G/350W," $3,527.00 "
SSS7B08361,SSD Samsung PM9A3 960G M.2 NVMe SSD-SED, $312.99 
SC17B87007,CABLE Micro Hi 6P+6S ST to 6P+6S ST, $3.05 
SF17B83966,"FAN FANPACK, 80x56 DUAL ROTOR, REAR", $110.60 
SC17B87013,CABLE 8&11mm pin ST to D-R panel (F) ST, $114.19 
SSS7B07973,"SSD 2.5"" PM1743/1745 3.84TB /3.2T HS-STD"," $1,108.28 "
STA7B80355,ECAT_TLA SR680a V3 Riser, $44.91 
SC17B87012,CABLE D-RadSok(F) ST to D-R panel (M) ST, $94.96 
SC17B87011,CABLE Z-link 4C+ ST to SFF1002 168P ST, $27.50 
SC17B39467,CABLE MicroHi 2x4 ST to Molex 2x4 ST, $1.43 
SC17B87002,CABLE 2x15 AgiLink ST to 2x15 AgiLink ST, $2.63 
SC17B87000,CABLE MCIO X8 74P ST to MCIO X8 74P ST, $9.50 
SC17B86998,CABLE 2x15 AgiLink ST to 2x15 AgiLink ST, $3.93 
SM17A06246,"GEN4 2.5"" HS HDD TRAY", $2.21 
SM17B84753,"MECH_ASM BRKT PCIe CABLE MOUNTING, INTEL", $246.90 
SM17B85193,"MECH_ASM ASSM, PCIe BLIND MATE CABLES", $458.40 
STA7B80349,ECAT_TLA SR680a/SR685a V3 CFFV4 PIB,  
SA27B95698,"AIRDUCT AIRDUCT, ADAPTER CARD COOLING", $9.69 
SC17B86997,CABLE 2x8 Micro Hi ST to 2x8 Micro Hi ST, $5.90 
SC17B87019,CABLE 2x9Micro Fit ST to 2x8Micro Hi ST, $5.35 
SC17B87006,CABLE MCIO X8 ST to MCIO X8 ST, $10.43 
SC17B86994,CABLE 5.7 Surlok RA to 5.7 Surlok ST, $125.05 
SC17B86999,CABLE 2x6 Micro Hi ST to 2x8 Micro Hi ST, $4.09 
SC17B86996,CABLE Micro Hi 12P+12S ST to 12P+12S ST, $6.94 
SL17A47147,"LABEL FRU LABEL, BLANK",  
SS17B01791,"SCREW Screw 6-32,L=5",  
SS17A40942,"SCREW SCREW, M3X5",  
SC17B42031,"CABLE MB Sideband, 2x10p to 2x10p, 560mm", $3.73 
SC17B25081,"CABLE MCIO cable C, 820", $22.15 
SC57B39207,"CARDPOP SD650 V3 PIB,ESP", $48.43 
SC17B25079,"CABLE MCIO cable A,155", $15.00 
SM17B28793,MECH_ASM OSFP_Conduction, $50.33 
SM27A17638,MECHANICAL 5 UNIT BLACK, $22.82 
SM17B67747,"MECH_ASM CROSS BAR, FRONT", $6.88 
SSG7B06526,SWITCH NV QM9700 NDR IB Mgd oPSE,  
STA7B01828,ECAT_TLA DW612S Hi Power Midplane TLA, $294.00 
